date,open,high,low,close,volume,dividends,stock_splits,adjusted_close
2023-06-29,186.46591313429835,187.44223149955704,186.3278492789131,186.96885681152344,46347300,0.0,0.0,186.96885681152344
2023-06-30,188.9806695476879,191.7912585176698,188.6157746627016,191.28831481933597,85213200,0.0,0.0,191.28831481933597
2023-07-03,191.10089105870887,191.1995145266289,189.1088143797874,189.7991485595703,31458200,0.0,0.0,189.7991485595703
2023-07-05,188.9214865295673,190.31198136153697,187.98460856583768,188.68479919433597,46920300,0.0,0.0,188.68479919433597
2023-07-06,187.2153769807983,189.36524537083605,186.5842258571581,189.15814208984372,45094300,0.0,0.0,189.15814208984372
2023-07-07,188.7636804868427,190.0062550438309,187.60985803081863,188.04376220703125,46815000,0.0,0.0,188.04376220703125
2023-07-10,186.6434031135775,187.36332142042107,184.4540942539423,186.0023956298828,59922200,0.0,0.0,186.0023956298828
2023-07-11,186.5447914459214,186.68285528837708,184.02018687082852,185.47972106933597,46638100,0.0,0.0,185.47972106933597
2023-07-12,187.057564649218,189.04964127499804,185.86430197749195,187.14633178710935,60750200,0.0,0.0,187.14633178710935
2023-07-13,187.8662603208446,188.54672319895087,187.1562134087189,187.90570068359372,41342300,0.0,0.0,187.90570068359372
2023-07-14,187.60001815586816,188.53688115718745,187.0083223355872,188.0536651611328,41616200,0.0,0.0,188.0536651611328
2023-07-17,189.24688249449068,191.6334380513428,189.15813040004863,191.30799865722656,50520200,0.0,0.0,191.30799865722656
2023-07-18,190.6768691009351,191.64331601668744,189.75971887799716,191.05160522460935,48288200,0.0,0.0,191.05160522460935
2023-07-19,190.4303150490968,195.4893803490621,189.9865244553515,192.4026641845703,80507300,0.0,0.0,192.4026641845703
2023-07-20,192.3928090502892,193.7537348839622,189.8386203157028,190.4599151611328,59581200,0.0,0.0,190.4599151611328
2023-07-21,191.41651794617292,192.2744851317762,188.58618628535973,189.286376953125,71951700,0.0,0.0,189.286376953125
2023-07-24,190.73603816687745,192.21530010696893,189.592071988394,190.0851593017578,45377800,0.0,0.0,190.0851593017578
2023-07-25,190.6571617022808,191.7518162507371,190.25282645288885,190.94314575195312,37283200,0.0,0.0,190.94314575195312
2023-07-26,190.99243214213985,192.9351972994816,190.6472800623453,191.8109588623047,47471900,0.0,0.0,191.8109588623047
2023-07-27,193.30998316918408,194.47366217807735,189.8879555038913,190.54869079589844,47460200,0.0,0.0,190.54869079589844
2023-07-28,191.9785925358936,193.91150122150717,191.45592124266815,193.12255859375,48291400,0.0,0.0,193.12255859375
2023-07-31,193.34940127389012,193.77346420221568,192.56045853696887,193.7340087890625,38824100,0.0,0.0,193.7340087890625
2023-08-01,193.5269039281353,194.0101198390568,192.58016971551623,192.90560913085935,35175100,0.0,0.0,192.90560913085935
2023-08-02,192.3434612283356,192.48152505166297,189.19757732195916,189.91748046875,50389300,0.0,0.0,189.91748046875
2023-08-03,188.92147165885288,189.7103992851957,188.05363321247987,188.5269927978516,61235200,0.0,0.0,188.5269927978516
2023-08-04,182.95511789971007,184.78940327661547,179.40488328381886,179.4739227294922,115956800,0.0,0.0,179.4739227294922
2023-08-07,179.61200164257014,180.59817633552169,174.8980878140883,176.37734985351562,97576100,0.0,0.0,176.37734985351562
2023-08-08,177.20572916857282,177.77771228390873,175.12490000933562,177.314208984375,67823000,0.0,0.0,177.314208984375
2023-08-09,178.3693964131728,178.42856448196,174.56276182695083,175.72645568847656,60378500,0.0,0.0,175.72645568847656
2023-08-10,176.99860916334498,178.25105509162734,175.14461118800062,175.50949096679688,54686900,0.0,0.0,175.50949096679688
2023-08-11,175.10462674008653,176.3883728930982,174.34424265962002,175.56874084472656,52036700,0.24,0.0,175.56874084472656
2023-08-14,175.74649049543365,177.44500246999712,175.09473274674426,177.21788024902344,43675600,0.0,0.0,177.21788024902344
2023-08-15,176.64514364841483,177.23763842738072,174.8380051896738,175.23300170898438,43622600,0.0,0.0,175.23300170898438
2023-08-16,174.9169842350172,176.30935657463468,174.29485048513217,174.36398315429688,46964900,0.0,0.0,174.36398315429688
2023-08-17,174.92688028330798,175.29225282363015,171.31260330101006,171.82611083984375,66062900,0.0,0.0,171.82611083984375
2023-08-18,170.14734105941557,172.91236175457905,169.81159252872837,172.3099822998047,61172200,0.0,0.0,172.3099822998047
2023-08-21,172.88272795365145,173.92948217703207,171.56934282132403,173.64309692382812,46311900,0.0,0.0,173.64309692382812
2023-08-22,174.8478727981476,175.46012191641384,174.04799506153495,175.0157470703125,42038900,0.0,0.0,175.0157470703125
2023-08-23,176.28962468028294,179.28176749229362,176.1019960768648,178.8571319580078,52722800,0.0,0.0,178.8571319580078
2023-08-24,178.41274073112407,178.83737622633825,173.810958290209,174.1763458251953,54945800,0.0,0.0,174.1763458251953
2023-08-25,175.16389608553052,176.91177162464882,173.62338845938783,176.37852478027344,51449600,0.0,0.0,176.37852478027344
2023-08-28,177.8400098200833,178.33376298082638,176.31925671498092,177.9387664794922,43820700,0.0,0.0,177.9387664794922
2023-08-29,177.4548654120463,182.5898947624316,177.25736718090633,181.81964111328125,53003900,0.0,0.0,181.81964111328125
2023-08-30,182.62943856671396,185.5030858470339,182.4319402975977,185.3055725097656,60813900,0.0,0.0,185.3055725097656
2023-08-31,185.4931573920971,186.7571640981168,185.13765456426972,185.5227813720703,60794500,0.0,0.0,185.5227813720703
2023-09-01,187.12259578872167,187.54721631397277,185.9277063979524,187.0929718017578,45766500,0.0,0.0,187.0929718017578
2023-09-05,185.92768366781115,187.6064413525269,185.26605625958229,187.32994079589844,45280000,0.0,0.0,187.32994079589844
2023-09-06,186.0461707664675,186.49056063180012,179.2027597126584,180.6247711181641,81755800,0.0,0.0,180.6247711181641
2023-09-07,172.9913740950523,175.98353252575788,171.37186410651492,175.34164428710938,112488800,0.0,0.0,175.34164428710938
2023-09-08,176.121746745329,177.9881329660241,175.56873058484743,175.953857421875,65551300,0.0,0.0,175.953857421875
2023-09-11,177.82027676778657,178.0473990105972,175.12437356668377,177.119140625,58953100,0.0,0.0,177.119140625
2023-09-12,177.24749835360407,177.87950173703112,172.6358460753217,174.09735107421875,90370200,0.0,0.0,174.09735107421875
2023-09-13,174.30471474035696,175.08485308011382,171.80632524830068,172.03346252441406,84267900,0.0,0.0,172.03346252441406
2023-09-14,171.82609096561458,173.89986015970092,171.4113401404273,173.5443572998047,60895800,0.0,0.0,173.5443572998047
2023-09-15,174.27512191376346,174.29487626046748,171.64836639188815,172.823486328125,109259500,0.0,0.0,172.823486328125
2023-09-18,174.2751007250675,177.13887792290447,173.9689761950564,175.74649047851562,67257600,0.0,0.0,175.74649047851562
2023-09-19,175.3021409914078,177.38578010579235,174.91701409671836,176.83277893066406,51826900,0.0,0.0,176.83277893066406
2023-09-20,177.0203732393163,177.45487842056565,173.20859833310675,173.2974853515625,58436200,0.0,0.0,173.2974853515625
2023-09-21,172.36923745366522,174.09737357666756,171.68785565712008,171.75697326660156,63149100,0.0,0.0,171.75697326660156
2023-09-22,172.48773574692532,174.8676297137013,171.87548661966315,172.60623168945312,56725400,0.0,0.0,172.60623168945312
2023-09-25,172.02361011818323,174.7590070374673,171.97423178505466,173.880126953125,46172700,0.0,0.0,173.880126953125
2023-09-26,172.63588402695854,173.01112622988728,169.5153600429677,169.81161499023438,64588900,0.0,0.0,169.81161499023438
2023-09-27,170.4633463371719,170.8780972082127,166.93795639924983,168.3007049560547,66921800,0.0,0.0,168.3007049560547
2023-09-28,167.2243249736919,169.8807195182162,165.5258128129139,168.55746459960938,56294400,0.0,0.0,168.55746459960938
2023-09-29,169.870831028669,170.90771561508154,168.21181267677895,169.07095336914062,51861100,0.0,0.0,169.07095336914062
2023-10-02,169.08084887750982,172.12237043121976,168.79446358018748,171.57923889160156,52164500,0.0,0.0,171.57923889160156
2023-10-03,170.1078282132375,171.46072207785286,168.6858318118607,170.24607849121094,49594600,0.0,0.0,170.24607849121094
2023-10-04,168.9524578917983,172.03348795172127,168.8339619515459,171.4903564453125,53020300,0.0,0.0,171.4903564453125
2023-10-05,171.61869897615148,173.25796291419545,170.5225664715738,172.72471618652344,48527900,0.0,0.0,172.72471618652344
2023-10-06,171.6286058875163,175.76625988669193,171.0163417068709,175.2725067138672,57266700,0.0,0.0,175.2725067138672
2023-10-09,174.6009972191987,176.81301689163445,173.60362121945622,176.75376892089844,42390800,0.0,0.0,176.75376892089844
